topic,department,concept
Essped 8921 ethical issues in applied behavior analysis,department of special education,applied behavior analysis
Essped 8921 ethical issues in applied behavior analysis,department of special education,ethical issues
Essped 7830 urban education & precision teaching,department of special education,urban education
Essped 8871 behaviorism: schedules and translational research,department of special education,translational research
Essped 8871 behaviorism: schedules and translational research,department of special education,behaviorism
Essped 8916 behaviorism: applications and implications of skinner’s work (1.5),department of special education,applications
Essped 8916 behaviorism: applications and implications of skinner’s work (1.5),department of special education,behaviorism
Essped 8917 verbal behavior (1.5),department of special education,verbal behavior
Applied behavior analysis certificate,department of special education,applied behavior analysis
Autism spectrum disorder (gcert),department of special education,autism spectrum disorder
Sed 641 - ethical and professional conduct — 3 credits,department of special education,ethical conduct
Sed 642 - organizational behavior management and supervision - 2 credits,department of special education,supervision
Sed 642 - organizational behavior management and supervision - 2 credits,department of special education,organizational behavior management
Sed 689 - philosophical underpinnings of aba - 1 credit,department of special education,philosophical underpinnings
Sed 689 - philosophical underpinnings of aba - 1 credit,department of special education,aba
Sed 694 - intervention in applied behavior analysis — 3 credits,department of special education,applied behavior analysis
Sed 694 - intervention in applied behavior analysis — 3 credits,department of special education,intervention
Sed 560 – artificial intelligence for inclusive planning (online – asynchronous),department of special education,artificial intelligence
Sed 514 – transition within disabilities services (varying modalities),department of special education,transition
Sed 517 – intro to assistive technology (online – synchronous),department of special education,assistive technology
Sed 504 – curriculum and planning for exceptional learners,department of special education,planning
Sed 504 – curriculum and planning for exceptional learners,department of special education,curriculum
Sed 504 – curriculum and planning for exceptional learners,department of special education,exceptional learners
Sed 503 – learning theory and development,department of special education,development
Sed 521 – diagnostic assessment of exceptional learners,department of special education,exceptional learners
Sed 605 – administration and supervision of programs for individuals with special needs (capstone),department of special education,administration
Sed 605 – administration and supervision of programs for individuals with special needs (capstone),department of special education,supervision
Sed 605 – administration and supervision of programs for individuals with special needs (capstone),department of special education,programs
Sed 514: transition within disability services (3 credits),department of special education,transition
Comprehensive exam in applied behavior analysis is required.,department of special education,applied behavior analysis
Comprehensive exam in applied behavior analysis is required.,department of special education,comprehensive exam
Assessment program track,department of special education,assessment
Applied behavior analysis program focus,department of special education,applied behavior analysis
Autism program focus,department of special education,autism
Deaf/hard of hearing program focus,department of special education,deaf
Deaf/hard of hearing program focus,department of special education,hard of hearing
Orientation and mobility program focus,department of special education,mobility
Orientation and mobility program focus,department of special education,orientation
Speech pathology: functional disorders,department of speech pathology,speech pathology
Speech pathology i: communication disorders,department of speech pathology,communication disorders
Speech pathology i: communication disorders,department of speech pathology,speech pathology
Introduction to communication disorders or speech pathology i (cmds 258 – 3 crs.),department of speech pathology,communication disorders
Introduction to communication disorders or speech pathology i (cmds 258 – 3 crs.),department of speech pathology,speech pathology
Csd 799 - independent research in speech pathology or audiology 0-9 credit(s),department of speech pathology,audiology
Csd 799 - independent research in speech pathology or audiology 0-9 credit(s),department of speech pathology,speech pathology
Csd 799 - independent research in speech pathology or audiology 0-9 credit(s),department of speech pathology,independent research
Csd 315 augmentative and alternative communication (3 credits),department of speech pathology,augmentative communication
Csd 315 augmentative and alternative communication (3 credits),department of speech pathology,alternative communication
Csd 330 speech-language pathology practice in educational settings (3 credits),department of speech pathology,speech-language pathology
Csd 330 speech-language pathology practice in educational settings (3 credits),department of speech pathology,educational settings
Aphasia,department of speech pathology,aphasia
Aphasia,department of speech science,aphasia
Anatomy and physiology of the speech and hearing mechanism,department of speech pathology,physiology
Anatomy and physiology of the speech and hearing mechanism,department of speech pathology,speech mechanism
Anatomy and physiology of the speech and hearing mechanism,department of speech pathology,anatomy
Anatomy and physiology of the speech and hearing mechanism,department of speech pathology,hearing mechanism
Introduction to speech and hearing science (not introduction to communication disorders),department of speech pathology,hearing science
Introduction to speech and hearing science (not introduction to communication disorders),department of speech pathology,speech science
"Survey of speech, language and hearing disorders",department of speech pathology,language disorders
"Survey of speech, language and hearing disorders",department of speech pathology,hearing disorders
"Survey of speech, language and hearing disorders",department of speech pathology,speech disorders
Intro to communication disorders,department of speech pathology,communication disorders
Survey of communication disorders,department of speech pathology,communication disorders
Slp 601: introduction to research in speech-language pathology (3 credit),department of speech pathology,speech-language pathology
Slp 601: introduction to research in speech-language pathology (3 credit),department of speech pathology,research
Slp 606: advanced neuroanatomy for speech-language pathology (3 credits),department of speech pathology,advanced neuroanatomy
Slp 606: advanced neuroanatomy for speech-language pathology (3 credits),department of speech pathology,speech-language pathology
Slp 608: seminar in speech-language pathology (1 credit),department of speech pathology,speech-language pathology
Slp 608: seminar in speech-language pathology (1 credit),department of speech pathology,seminar
Slp 620: comparative phonology and phonological disorders (3 credits),department of speech pathology,phonological disorders
Csd 329 neurobiology of speech and language (3 credits),department of speech pathology,speech
Csd 329 neurobiology of speech and language (3 credits),department of speech pathology,language
Csd 329 neurobiology of speech and language (3 credits),department of speech pathology,neurobiology
Csd 331 principles of dysphagia (3 credits),department of speech pathology,dysphagia
Csd 331 principles of dysphagia (3 credits),department of speech pathology,principles
Csd 406 speech-language pathology practicum ii (1 credit),department of speech pathology,speech-language pathology
Csd 406 speech-language pathology practicum ii (1 credit),department of speech pathology,practicum
"Csd 321 assessment and intervention of infants, toddlers, and pre-school children (3 credits)",department of speech pathology,infants
"Csd 321 assessment and intervention of infants, toddlers, and pre-school children (3 credits)",department of speech pathology,intervention
"Csd 321 assessment and intervention of infants, toddlers, and pre-school children (3 credits)",department of speech pathology,toddlers
"Csd 321 assessment and intervention of infants, toddlers, and pre-school children (3 credits)",department of speech pathology,assessment
Csd 340 special topics (3 credits),department of speech pathology,special topics
Csd 1710 phonetics,department of speech pathology,phonetics
Csd 1720 anatomy and physiology of the speech system,department of speech pathology,physiology
Csd 1720 anatomy and physiology of the speech system,department of speech pathology,anatomy
Csd 1730 language acquisition,department of speech pathology,language acquisition
Csd 1740 hearing science or 1750 speech science,department of speech pathology,hearing science
Csd 1740 hearing science or 1750 speech science,department of speech pathology,speech science
Understand language disorders in children and how they impact the school setting,department of speech pathology,language disorders
Understand language disorders in children and how they impact the school setting,department of speech pathology,children
Understand language disorders in adults and how they impact individual functioning,department of speech pathology,language disorders
Understand language disorders in adults and how they impact individual functioning,department of speech pathology,adults
"Identify, assess and treat a wide range of communication disorders in individuals of all ages",department of speech pathology,communication disorders
"Identify, assess and treat a wide range of communication disorders in individuals of all ages",department of speech pathology,individuals
"Complete observation and practice hours in clinical settings, working directly with patients",department of speech pathology,patients
Build your professional network through internships,department of speech pathology,internships
"Evaluate and diagnose speech, language, communication, and swallowing disorders.",department of speech pathology,language disorders
"Evaluate and diagnose speech, language, communication, and swallowing disorders.",department of speech pathology,communication disorders
"Evaluate and diagnose speech, language, communication, and swallowing disorders.",department of speech pathology,swallowing disorders
"Evaluate and diagnose speech, language, communication, and swallowing disorders.",department of speech pathology,speech disorders
Csd 500: research methods in csd (2 cr),department of speech pathology,research methods
Csd 551: assessment and intervention in aac (3 cr),department of speech pathology,assessment
Csd 551: assessment and intervention in aac (3 cr),department of speech pathology,intervention
Csd 551: assessment and intervention in aac (3 cr),department of speech pathology,aac
Csd 815: slp professional practice & counseling (2 cr),department of speech pathology,professional practice
Csd 815: slp professional practice & counseling (2 cr),department of speech pathology,counseling
Csd 841: culturally responsive practice in csd (1 cr),department of speech pathology,culturally responsive practice
Speech production,department of speech pathology,speech production
Phonetic transcription and introduction to acoustic phonetics,department of speech pathology,acoustic phonetics
Phonetic transcription and introduction to acoustic phonetics,department of speech science,acoustic phonetics
Audiology (not hearing science),department of speech pathology,audiology
Audiology (not hearing science),department of speech science,audiology
Csd 618 - dysphagia 3 credit(s),department of speech pathology,dysphagia
Csd 623 - language disorders of early childhood 3 credit(s),department of speech pathology,language disorders
Csd 623 - language disorders of early childhood 3 credit(s),department of speech pathology,early childhood
Csd 624 - clinical techniques - language disabilities of early childhood 1 credit(s),department of speech pathology,language disabilities
Csd 624 - clinical techniques - language disabilities of early childhood 1 credit(s),department of speech pathology,clinical techniques
Csd 624 - clinical techniques - language disabilities of early childhood 1 credit(s),department of speech pathology,early childhood
Csd 625 - stuttering 3 credit(s),department of speech pathology,stuttering
Csd 635 - aural rehabilitation 3 credit(s),department of speech pathology,aural rehabilitation
Csd 638 - speech sound disorders 3 credit(s),department of speech pathology,speech sound disorders
Csd 644 - counseling persons with communication disorders & their families 3 credit(s),department of speech pathology,communication disorders
Csd 644 - counseling persons with communication disorders & their families 3 credit(s),department of speech pathology,counseling
Csd 657 - voice disorders 3 credit(s),department of speech pathology,voice disorders
Csd 731 - language disorders in school-age children 3 credit(s),department of speech pathology,language disorders
Csd 731 - language disorders in school-age children 3 credit(s),department of speech pathology,school-age children
Csd 732 - clinical techniques - language disabilities of school age children 1 credit(s),department of speech pathology,language disabilities
Csd 732 - clinical techniques - language disabilities of school age children 1 credit(s),department of speech pathology,clinical techniques
Csd 600 - selected topics - 1 credit each,department of speech pathology,selected topics
Csd 647 - autism and behavioral interventions 1 credit(s),department of speech pathology,behavioral interventions
Csd 647 - autism and behavioral interventions 1 credit(s),department of speech pathology,autism
Csd 690 - independent study 1 - 6 credit(s) (1-3 credits),department of speech pathology,independent study
Advanced special topics and current research in speech science. may be repeated for credit.,department of speech science,current research
Advanced special topics and current research in speech science. may be repeated for credit.,department of speech science,speech science
"Sphs 740. principles of prevention, assessment, and intervention in speech-pathology. 3 credits.",department of speech science,assessment
"Sphs 740. principles of prevention, assessment, and intervention in speech-pathology. 3 credits.",department of speech science,intervention
"Sphs 740. principles of prevention, assessment, and intervention in speech-pathology. 3 credits.",department of speech science,prevention
Sphs 772. supervised clinical experience in speech-language pathology ii. 1 credits.,department of speech science,speech-language pathology
Sphs 772. supervised clinical experience in speech-language pathology ii. 1 credits.,department of speech science,supervised clinical experience
Supervised clinical experience in speech-language pathology scope of practice.,department of speech science,scope of practice
Supervised clinical experience in speech-language pathology scope of practice.,department of speech science,speech-language pathology
Supervised clinical experience in speech-language pathology scope of practice.,department of speech science,supervised clinical experience
Sphs 863. listening and spoken language development and intervention. 3 credits.,department of speech science,listening
Sphs 863. listening and spoken language development and intervention. 3 credits.,department of speech science,intervention
Sphs 863. listening and spoken language development and intervention. 3 credits.,department of speech science,development
Knsism 7897 colloquium in sport management (12; repeatable),department of sport management,colloquium
Knsism 7897 colloquium in sport management (12; repeatable),department of sport management,sport management
Smgt 3826 - research methods in sport management,department of sport management,sport management
Smgt 3826 - research methods in sport management,department of sport management,research methods
Smgt 3881w - senior seminar in sport management,department of sport management,senior seminar
Smgt 3881w - senior seminar in sport management,department of sport management,sport management
Spm 201 - professional development in sport management,department of sport management,sport management
Spm 201 - professional development in sport management,department of sport management,professional development
Spm 205 - principles and contemporary issues in sport management,department of sport management,contemporary issues
Spm 205 - principles and contemporary issues in sport management,department of sport management,principles
Spm 205 - principles and contemporary issues in sport management,department of sport management,sport management
Spm 345 - technology in sport management,department of sport management,technology
Spm 345 - technology in sport management,department of sport management,sport management
Spm 455 - senior sport management capstone,department of sport management,sport management
"1. explain, discuss, and analyze core areas of sport management.",department of sport management,sport management
Sport management certificate,department of sport management,sport management
Sport management uf online,department of sport management,sport management
African sport management association,department of sport management,sport management
Latin american association for sport management,department of sport management,sport management
North american society for sport management,department of sport management,sport management
Knsism 6807 sport law,department of sport management,sport law
Knsism 6809 sport marketing,department of sport management,sport marketing
Knsism 7906 understanding sport consumers: theoretical perspectives,department of sport management,theoretical perspectives
Knsism 8951 theoretical approaches to sport organizations (6; repeatable),department of sport management,sport organizations
Research and analytics,department of sport management,analytics
Research and analytics,department of sport management,research
Legal and ethical issues,department of sport management,legal issues
Legal and ethical issues,department of sport management,ethical issues
Sales and strategy,department of sport management,strategy
Sales and strategy,department of sport management,sales
Sport policy and governance,department of sport management,governance
Smgt 3111 - sports facility and event management,department of sport management,event management
Smgt 3143 - organization and management of sport,department of sport management,organization
Smgt 3501 - sport in a diverse society,department of sport management,diverse society
Smgt 3501 - sport in a diverse society,department of sport management,sport
Smgt 3601 - ethics and values in sport,department of sport management,sport
Smgt 3601 - ethics and values in sport,department of sport management,ethics
Smgt 3601 - ethics and values in sport,department of sport management,values
Smgt 3631 - sport marketing,department of sport management,sport marketing
Smgt 3861 - sport law,department of sport management,sport law
Smgt 3996 - practicum: the sport experience,department of sport management,practicum
Spm 215 - principles of sales in sport,department of sport management,sport
Spm 225 - managing the sport organization,department of sport management,managing
"Spm 245 - race, gender, and diversity in sport organizations",department of sport management,sport organizations
"Spm 245 - race, gender, and diversity in sport organizations",department of sport management,race
"Spm 245 - race, gender, and diversity in sport organizations",department of sport management,gender
"Spm 245 - race, gender, and diversity in sport organizations",department of sport management,diversity
Spm 395 - psycho-social issues of sport,department of sport management,sport
Spm 415 - sport law,department of sport management,sport law
4. classify technology appropriate for use in the sport industry.,department of sport management,technology
4. classify technology appropriate for use in the sport industry.,department of sport management,sport industry
5. develop critical thinking and problem-solving skills necessary for careers in the sport industry.,department of sport management,sport industry
5. develop critical thinking and problem-solving skills necessary for careers in the sport industry.,department of sport management,critical thinking
Sport and entertainment law and risk management certificate,department of sport management,sport law
Sport and entertainment law and risk management certificate,department of sport management,risk management
Sport and entertainment law and risk management certificate,department of sport management,entertainment law
Sport marketing association,department of sport management,sport marketing
Sport science: coaching for optimal performance,department of sport management,sport science
Sport science: coaching for optimal performance,department of sport management,coaching
Sport science: techniques and analysis,department of sport management,sport science
Sport science: techniques and analysis,department of sport management,analysis
Sport science: techniques and analysis,department of sport management,techniques
Event & venue administration: international perspectives,department of sport management,international perspectives
Sport marketing: international perspectives,department of sport management,international perspectives
Sport marketing: international perspectives,department of sport management,sport marketing
"Power, politics, and international sport governance",department of sport management,politics
"Power, politics, and international sport governance",department of sport management,power
"Exercise and sport science, b.s.",department of sport science,exercise and sport science
Exe 606 - current literature in exercise and sport science 1-3 credit(s),department of sport science,exercise and sport science
Exe 606 - current literature in exercise and sport science 1-3 credit(s),department of sport science,current literature
Exe 693 - research methods in exercise and sport science 3 credit(s),department of sport science,exercise and sport science
Exe 693 - research methods in exercise and sport science 3 credit(s),department of sport science,research methods
Kinesiology and fitness,department of sport science,fitness
Kinesiology and fitness,department of sport science,kinesiology
Teaching and coaching,department of sport science,teaching
Teaching and coaching,department of sport science,coaching
Exe 686 - systemic physiology and exercise 3 credit(s),department of sport science,exercise
Edu 647 - statistical thinking and applications 3 credit(s),department of sport science,applications
Fitness and activity,department of sport science,fitness
Exercise physiology laboratory,department of sport science,laboratory
Exercise physiology laboratory,department of sport science,exercise physiology
Environmental and ecological statistics,department of statistics,environmental statistics
Environmental and ecological statistics,department of statistics,ecological statistics
Foundations of statistics and probability,department of statistics,probability
Big data analysis biostatistics and bioinformatics computational data science,department of statistics,bioinformatics
Big data analysis biostatistics and bioinformatics computational data science,department of statistics,biostatistics
High-frequency and high-dimensional data analysis linear models mathematical statistics,department of statistics,mathematical statistics
High-frequency and high-dimensional data analysis linear models mathematical statistics,department of statistics,linear models
Spatio-temporal statistics statistical computing time series,department of statistics,time series
Spatio-temporal statistics statistical computing time series,department of statistics,statistical computing
Spatial and spatiotemporal statistics,department of statistics,spatial statistics
Environmental statistics,department of statistics,environmental statistics
Stor 757. bayesian statistics and generalized linear models. 3 credits.,department of statistics,bayesian statistics
Stor 757. bayesian statistics and generalized linear models. 3 credits.,department of statistics,generalized linear models
Advance topics in current research in statistics and operations research.,department of statistics,operations research
"14), statistics, fiducial inference, stochastic processes",department of statistics,statistics
"14), statistics, fiducial inference, stochastic processes",department of statistics,stochastic processes
"Mathematical statistics (stat 30400, 30100, 30210)",department of statistics,mathematical statistics
"Applied statistics (stat 34300, 34700, 34800)",department of statistics,applied statistics
Sds 391p.5: concepts in mathematical statistics,department of statistics,mathematical statistics
Sds 391p.6: theoretical statistics and machine learning,department of statistics,machine learning
Artificial intelligence/machine learning,department of statistics,artificial intelligence
Artificial intelligence/machine learning,department of statistics,machine learning
Causal inference & graphical models,department of statistics,graphical models
Causal inference & graphical models,department of statistics,causal inference
Statistical modeling for complex networks,department of statistics,statistical modeling
Applications in the physical & environmental sciences,department of statistics,applications
Applications in the physical & environmental sciences,department of statistics,environmental sciences
Applications in the physical & environmental sciences,department of statistics,physical sciences
Applications in the social sciences,department of statistics,social sciences
Applications in the social sciences,department of statistics,applications
Experimental design,department of statistics,experimental design
Analysis of incomplete data applied probability bayesian methods,department of statistics,bayesian methods
Computer model emulation and calibration,department of statistics,calibration
Computational methods for large data,department of statistics,computational methods
Statistical inference for stochastic processes,department of statistics,statistical inference
Statistical inference for stochastic processes,department of statistics,stochastic processes
Extreme value theory and heavy tails,department of statistics,extreme value theory
Variable selection,department of statistics,variable selection
Statistical learning for big data,department of statistics,statistical learning
Statistical learning for big data,department of statistics,big data
Statistical machine learning,department of statistics,statistical machine learning
Bayesian methodology and computing,department of statistics,computing
Methodology for missing data,department of statistics,methodology
Methodology for missing data,department of statistics,missing data
"Multivariate analysis, machine learning, graphical models",department of statistics,graphical models
"Multivariate analysis, machine learning, graphical models",department of statistics,multivariate analysis
"Multivariate analysis, machine learning, graphical models",department of statistics,machine learning
"Astronomy, and earth and planetary remote sensing",department of statistics,astronomy
Biomedical,department of statistics,biomedical
Data/statistical engineering,department of statistics,data engineering
Neuroscience and neuroimaging,department of statistics,neuroscience
Neuroscience and neuroimaging,department of statistics,neuroimaging
"Functional data analysis, deep learning, imaging and computational neuroscience.",department of statistics,deep learning
"Functional data analysis, deep learning, imaging and computational neuroscience.",department of statistics,computational neuroscience
"Functional data analysis, deep learning, imaging and computational neuroscience.",department of statistics,imaging
Image analysis,department of statistics,image analysis
Statistical genetics,department of statistics,statistical genetics
Statistical computing for data science.,department of statistics,data science
Statistical computing for data science.,department of statistics,statistical computing
Probability for data science.,department of statistics,data science
Probability for data science.,department of statistics,probability
Simulation modeling and analysis.,department of statistics,analysis
Simulation modeling and analysis.,department of statistics,simulation modeling
Stor 734. stochastic processes. 3 credits.,department of statistics,stochastic processes
Stor 754. time series and multivariate analysis. 3 credits.,department of statistics,time series
Stor 754. time series and multivariate analysis. 3 credits.,department of statistics,multivariate analysis
"Bayes factors, empirical bayes theory, applications of generalized linear models.",department of statistics,generalized linear models
Extreme value theory.,department of statistics,extreme value theory
"1), stochastic models, manufacturing and healthcare applications, discrete event simulation",department of statistics,discrete event simulation
"1), stochastic models, manufacturing and healthcare applications, discrete event simulation",department of statistics,stochastic models
"5), probability, random networks, mcmc, probabilistic combinatorial optimization",department of statistics,probability
"2), probability, stochastic analysis, large deviations",department of statistics,large deviations
"2), probability, stochastic analysis, large deviations",department of statistics,probability
"2), probability, stochastic analysis, large deviations",department of statistics,stochastic analysis
"13), time series and spatial modeling, extreme value theory, streaming and sampling algorithms",department of statistics,spatial modeling
"13), time series and spatial modeling, extreme value theory, streaming and sampling algorithms",department of statistics,extreme value theory
"13), time series and spatial modeling, extreme value theory, streaming and sampling algorithms",department of statistics,time series modeling
Application of probability models to marketing in optimal product design,department of statistics,marketing
Methods for analyzing data when confidentiality of individual records needs to be maintained,department of statistics,data analysis
Application of time-series analysis to financial economics,department of statistics,financial economics
"Probability (stat 30400, 38100, 38300)",department of statistics,probability
"Computational mathematics and machine learning (stat 30900, 31015/31020, 37710)",department of statistics,computational mathematics
"Computational mathematics and machine learning (stat 30900, 31015/31020, 37710)",department of statistics,machine learning
Stochastic modeling,department of statistics,stochastic modeling
Sds 391p.2: advanced statistical modeling and applications ii,department of statistics,applications
Sds 391p.2: advanced statistical modeling and applications ii,department of statistics,advanced statistical modeling
Sds 391p.3: theory of the linear model,department of statistics,theory
Methods — stats 600 and,department of statistics,methods
Practice — stats,department of statistics,practice
"Statistical theory — stats 511, 610,",department of statistics,statistical theory
"Probability — stats 510, 620",department of statistics,probability
"Computing — stats 507, 606",department of statistics,computing
Algorithms and analysis of training predictive models on very large data sets,department of statistics,analysis
Algorithms and analysis of training predictive models on very large data sets,department of statistics,algorithms
Statistical methods for the design and analysis of computer simulation experiments,department of statistics,statistical methods
Statistical methods for the design and analysis of computer simulation experiments,department of statistics,analysis
Statistical methods for the design and analysis of computer simulation experiments,department of statistics,design
Text mining for legal analytics,department of statistics,text mining
Development and implementation of machine learning algorithms in mapreduce,department of statistics,implementation
Development and implementation of machine learning algorithms in mapreduce,department of statistics,development
Predictive modeling of consumer credit data for strategic risk management,department of statistics,predictive modeling
Prescriptive analytics to focus on trends using simulation and optimization,department of statistics,prescriptive analytics
Prescriptive analytics to focus on trends using simulation and optimization,department of statistics,trends
Prescriptive analytics to focus on trends using simulation and optimization,department of statistics,optimization
Prescriptive analytics to focus on trends using simulation and optimization,department of statistics,simulation
Predictive analytics to use statistical tools to predict the future,department of statistics,predictive analytics
Predictive analytics to use statistical tools to predict the future,department of statistics,statistical tools
Descriptive analytics to enable smart decisions based on data,department of statistics,descriptive analytics
Descriptive analytics to enable smart decisions based on data,department of statistics,data
Statistical modeling and analysis,department of statistics,statistical modeling
Statistical modeling and analysis,department of statistics,statistical analysis
Design of physical and simulation experiments,department of statistics,design
Probabilistic approaches in structural engineering,department of structural engineering,structural engineering
Structural engineeringce,department of structural engineering,structural engineering
"Material damage, failure and durability",department of structural engineering,durability
Engineering of cementitious materials and composites,department of structural engineering,composites
Multiscale and multiphysics modeling,department of structural engineering,multiscale modeling
Multiscale and multiphysics modeling,department of structural engineering,multiphysics modeling
Health monitoring.,department of structural engineering,health monitoring
Advanced mathematics,department of structural engineering,advanced mathematics
Data analytics,department of structural engineering,data analytics
Earthquake engineering and seismic risk management,department of structural engineering,earthquake engineering
"Steel, concrete, masonry, timber, and composite buildings and bridges",department of structural engineering,steel
"Steel, concrete, masonry, timber, and composite buildings and bridges",department of structural engineering,concrete
Innovative structural systems and structural rehabilitation,department of structural engineering,structural rehabilitation
Smart materials in structures,department of structural engineering,structures
Smart materials in structures,department of structural engineering,smart materials
Structural dynamics and control,department of structural engineering,structural dynamics
Structural dynamics and control,department of structural engineering,control
Computational solid and fluid mechanics,department of structural engineering,computational solid mechanics
Additive manufacturing and 3d printing,department of structural engineering,3d printing
Additive manufacturing and 3d printing,department of structural engineering,additive manufacturing
Design optimization,department of structural engineering,design optimization
Decision theory and analysis,department of structural engineering,decision analysis
Decision theory and analysis,department of structural engineering,decision theory
Probabilistic analysis,department of structural engineering,probabilistic analysis
Structural reliability,department of structural engineering,structural reliability
Optimization and inverse analysis,department of structural engineering,optimization
Image-based modeling of fracture in composite microstructures,department of structural engineering,fracture
Building energy and environments,department of structural engineering,environments
Construction engineering and project management,department of structural engineering,project management
Construction engineering and project management,department of structural engineering,construction engineering
Infrastructure materials engineering,department of structural engineering,engineering
Infrastructure materials engineering,department of structural engineering,infrastructure materials
"Mechanics, uncertainty and simulation in engineering",department of structural engineering,engineering
"Mechanics, uncertainty and simulation in engineering",department of structural engineering,uncertainty
"Mechanics, uncertainty and simulation in engineering",department of structural engineering,mechanics
"Mechanics, uncertainty and simulation in engineering",department of structural engineering,simulation
Ocean engineering,department of structural engineering,ocean engineering
"Infrastructure system response to extreme-event loading, durability of infrastructure and materials",department of structural engineering,infrastructure
"Infrastructure system response to extreme-event loading, durability of infrastructure and materials",department of structural engineering,materials
"Infrastructure system response to extreme-event loading, durability of infrastructure and materials",department of structural engineering,durability
"Health monitoring, evaluation and strengthening of existing structures",department of structural engineering,strengthening
"Health monitoring, evaluation and strengthening of existing structures",department of structural engineering,health monitoring
"Health monitoring, evaluation and strengthening of existing structures",department of structural engineering,existing structures
"Health monitoring, evaluation and strengthening of existing structures",department of structural engineering,evaluation
The development of construction methods to improve long-term sustainability of new infrastructure,department of structural engineering,construction methods
"Durability, evaluation, and strengthening of existing structures",department of structural engineering,strengthening
"Durability, evaluation, and strengthening of existing structures",department of structural engineering,evaluation
"Durability, evaluation, and strengthening of existing structures",department of structural engineering,existing structures
"Durability, evaluation, and strengthening of existing structures",department of structural engineering,durability
Connections to concrete,department of structural engineering,connections
Connections to concrete,department of structural engineering,concrete
"Computational mechanics, structural dynamics, and structural analysis",department of structural engineering,structural dynamics
"Computational mechanics, structural dynamics, and structural analysis",department of structural engineering,computational mechanics
Sustainable and more reliably constructed infrastructure,department of structural engineering,sustainable
Sustainable and more reliably constructed infrastructure,department of structural engineering,infrastructure
Advanced structural materials and systems,department of structural engineering,systems
"Infrastructure reliability, maintenance, and life-cycle performance",department of structural engineering,maintenance
Structural design for dynamic loads,department of structural engineering,structural design
Geotechnical engineering and materials,department of structural engineering,geotechnical engineering
Geotechnical engineering and materials,department of structural engineering,materials
Center for nuclear energy facilities and structures (cnefs),department of structural engineering,structures
Materials and component fatigue testing facility,department of structural engineering,materials
"Repair of buildings and bridges with composites (past nsf iucrc center, part of cici)",department of structural engineering,composites
Sensing and monitoring,department of structural engineering,sensing
Sensing and monitoring,department of structural engineering,monitoring
Structural behavior and design,department of structural engineering,design
Earthquake engineering and structural dynamics,department of structural engineering,structural dynamics
Earthquake engineering and structural dynamics,department of structural engineering,earthquake engineering
3. geotechnical engineering,department of structural engineering,geotechnical engineering
4. environmental engineering,department of structural engineering,environmental engineering
Principles of prestressed concretece,department of structural engineering,prestressed concrete
Finite element methodsce,department of structural engineering,finite element methods
Limit analysis and designce,department of structural engineering,limit analysis
Limit analysis and designce,department of structural engineering,design
Finite element method in engineeringce,department of structural engineering,engineering
Finite element method in engineeringce,department of structural engineering,finite element method
Solid mechanicsce,department of structural engineering,solid mechanics
Plasticity and viscoelasticity : theory and applicationsce,department of structural engineering,viscoelasticity
Plasticity and viscoelasticity : theory and applicationsce,department of structural engineering,applications
Plasticity and viscoelasticity : theory and applicationsce,department of structural engineering,theory
Plasticity and viscoelasticity : theory and applicationsce,department of structural engineering,plasticity
Damage mechanics in metals and metal matrix composites,department of structural engineering,metals
Risk and reliability of engineering systems,department of structural engineering,reliability
Risk and reliability of engineering systems,department of structural engineering,engineering systems
Risk and reliability of engineering systems,department of structural engineering,risk
Resilience of civil infrastructure and communities,department of structural engineering,communities
Resilience of civil infrastructure and communities,department of structural engineering,civil infrastructure
Resilience of civil infrastructure and communities,department of structural engineering,resilience
Sustainable and smart civil infrastructure and transportation systems,department of structural engineering,transportation systems
Hazards risk management in transportation and civil infrastructure.,department of structural engineering,transportation
Hazards risk management in transportation and civil infrastructure.,department of structural engineering,civil infrastructure
Environmental materials & materials durability,department of structural engineering,environmental materials
Resilience & sustainability,department of structural engineering,sustainability
Resilience & sustainability,department of structural engineering,resilience
"Water resources, quality, & treatment",department of structural engineering,water resources
"Water resources, quality, & treatment",department of structural engineering,water treatment
"Water resources, quality, & treatment",department of structural engineering,water quality
Defense systems,department of structural engineering,defense systems
Medicine,department of structural engineering,medicine
"Recognized leader in rrr research, education and outreach",department of structural engineering,outreach
"Recognized leader in rrr research, education and outreach",department of structural engineering,education
"Extensive relationships with government agencies, industry and foundations",department of structural engineering,foundations
"Extensive relationships with government agencies, industry and foundations",department of structural engineering,industry
"Extensive relationships with government agencies, industry and foundations",department of structural engineering,government agencies
