conference_journal,conference_topic,extracted_concept
statistical inference,Zero-inflated multivariate tobit regression modeling,zero-inflated models
statistical inference,Zero-inflated multivariate tobit regression modeling,multivariate statistics
statistical inference,Zero-inflated multivariate tobit regression modeling,tobit regression
statistical inference,Deep learning: statistical perspectives,deep learning
statistical inference,Deep learning: statistical perspectives,statistical learning
statistical inference,Confidence distributions,confidence distributions
statistical inference,Understanding decision-makers’ needs for statistical evidence,decision theory
statistical inference,Understanding decision-makers’ needs for statistical evidence,statistical evidence
statistical inference,Making decisions under uncertainty,decision theory
statistical inference,Making decisions under uncertainty,uncertainty quantification
statistics,Ideas for conducting surveys and analyzing the results.,statistical analysis
statistics,Ideas for conducting surveys and analyzing the results.,survey methodology
stem cell engineering,crispr applications in stem cell engineering,stem cell engineering
stem cell engineering,crispr applications in stem cell engineering,crispr
stem cell engineering,stem cell-based models for gene editing studies,stem cell models
stem cell engineering,stem cell-based models for gene editing studies,gene editing
stem cell engineering,ethical considerations in gene editing and stem cell research,bioethics
stem cell engineering,ethical considerations in gene editing and stem cell research,stem cell research
stem cell engineering,advancements in gene therapy for stem cell applications,gene therapy
stem cell engineering,precision medicine: integrating gene editing with stem cell therapy,precision medicine
stem cell engineering,precision medicine: integrating gene editing with stem cell therapy,stem cell therapy
stem cell engineering,precision medicine: integrating gene editing with stem cell therapy,gene editing
stem cells,Biomarkers and imaging techniques for detecting cancer stem cells,medical imaging
stem cells,Novel regenerative therapies using stem cells,stem cell therapy
stem cells,Novel regenerative therapies using stem cells,regenerative medicine
stem cells,Stem cells in developmental biology,stem cells
stem cells,Stem cells in developmental biology,developmental biology
stem cells,Al collection: transcriptomics and stem cells,stem cells
stem cells,Al collection: transcriptomics and stem cells,transcriptomics
stem cells,Al collection: stem cells in ophthalmology,stem cells
stem cells,Al collection: stem cells in ophthalmology,ophthalmology
stem cells,Al collection: stem cells in skin regeneration and wound healing,stem cells
stem cells,Al collection: stem cells in skin regeneration and wound healing,wound healing
stem cells,Al collection: stem cells in skin regeneration and wound healing,skin regeneration
stem cells,Al collection: induced pluripotent stem cells and embryonic stem cells,induced pluripotent stem cells
stem cells,Al collection: induced pluripotent stem cells and embryonic stem cells,embryonic stem cells
stem cells,Al collection: adult stem cells and tissue regeneration,adult stem cells
stem cells,Al collection: adult stem cells and tissue regeneration,tissue regeneration
stem cells,Al collection: hematopoietic stem cells,hematopoietic stem cells
stem cells,Covid-19 pandemic and stem cells,stem cells
stem cells,Covid-19 pandemic and stem cells,covid-19
stem cells,Stem and progenitor cells of the tumor microenvironment,stem cells
stem cells,Stem and progenitor cells of the tumor microenvironment,progenitor cells
stem cells,Stem and progenitor cells of the tumor microenvironment,tumor microenvironment
stem cells,Cancer stem cell plasticity and tumor heterogeneity,cancer stem cells
stem cells,Cancer stem cell plasticity and tumor heterogeneity,tumor heterogeneity
stem cells,Cancer stem cell plasticity and tumor heterogeneity,cell plasticity
stem cells,generation of ipscs and ipsc-derived organoids,organoids
stem cells,generation of ipscs and ipsc-derived organoids,induced pluripotent stem cells
stem cells,stem cell biology and differentiation,stem cell biology
stem cells,stem cell biology and differentiation,cell differentiation
stem cells,biomanufacturing and quality control in stem cell research,quality control
stem cells,biomanufacturing and quality control in stem cell research,biomanufacturing
stem cells,ai collection: stem cell engineering in regenerative medicine,stem cell engineering
stem cells,ai collection: stem cell engineering in regenerative medicine,regenerative medicine
stem cells,ai collection: cytometry in stem cell research,cytometry
stem cells,Improvement of reprogramming and gene editing technologies,cell reprogramming
stem cells,Improvement of reprogramming and gene editing technologies,gene editing
stem education,Call for papers: art and technology in stem education,art
stem education,Call for papers: art and technology in stem education,technology
stem education,Earth and space science,space science
stem education,Earth and space science,earth science
stem education,Life sciences,life sciences
stem education,Engineering and technology,engineering
stem education,Engineering and technology,technology
stem education,Physical sciences,physical sciences
stem education,Informal science education,science education
stochastic analysis,Rough stochastic analysis,stochastic analysis
stochastic analysis,Stabilization of dynamical systems by noise with jumps,stochastic processes
stochastic analysis,Stabilization of dynamical systems by noise with jumps,dynamical systems
stochastic analysis,Stochastic integration with respect to canonical α-stable cylindrical lévy processes,stochastic integration
stochastic analysis,Stochastic predictability and applications on stochastic differential equations,stochastic differential equations
stochastic analysis,Mean reflected stochastic differential equations with two constraints,stochastic differential equations
stochastic analysis,Mean reflected stochastic differential equations with two constraints,reflected stochastic processes
stochastic analysis,An affine infinite-dimensional stochastic volatility model,stochastic volatility
stochastic analysis,An affine infinite-dimensional stochastic volatility model,infinite-dimensional stochastic processes
stochastic analysis,An affine infinite-dimensional stochastic volatility model,affine processes
stochastic analysis,Multivariate stochastic volatility models and large deviation principles,large deviation theory
stochastic analysis,Multivariate stochastic volatility models and large deviation principles,multivariate stochastic volatility
stochastic analysis,On nonlinear filtering of jump diffusions,nonlinear filtering
stochastic analysis,On nonlinear filtering of jump diffusions,jump diffusions
stochastic analysis,Stochastic gross-pitaevskii equation and invariant measure,invariant measures
stochastic analysis,Stochastic gross-pitaevskii equation and invariant measure,stochastic partial differential equations
stochastic analysis,Stochastic gross-pitaevskii equation and invariant measure,gross-pitaevskii equation
stochastic analysis,A theory of stochastic geometric mechanics,geometric mechanics
stochastic analysis,Large deviations for brownian bridges with terminal densities,probability theory
stochastic analysis,Large deviations for brownian bridges with terminal densities,large deviations
stochastic analysis,Large deviations for brownian bridges with terminal densities,brownian motion
stochastic analysis,Computable least-squares estimator for drift in linear spdes with additive fractional noise,stochastic partial differential equations
stochastic analysis,Computable least-squares estimator for drift in linear spdes with additive fractional noise,statistical estimation
stochastic analysis,Nonuniqueness in law for stochastic hypodissipative navier-stokes equations,fluid dynamics
stochastic analysis,Nonuniqueness in law for stochastic hypodissipative navier-stokes equations,navier-stokes equations
stochastic analysis,Nonuniqueness in law for stochastic hypodissipative navier-stokes equations,stochastic partial differential equations
stochastic analysis,Optimal regularity in time and space for stochastic porous medium equations,porous medium equations
stochastic analysis,Optimal regularity in time and space for stochastic porous medium equations,stochastic partial differential equations
stochastic analysis,Optimal regularity in time and space for stochastic porous medium equations,partial differential equations
stochastic analysis,On fractional conservation laws with noise,stochastic processes
stochastic analysis,On fractional conservation laws with noise,conservation laws
stochastic analysis,A young approach to hyperbolic anderson model,stochastic processes
stochastic analysis,Renormalisation from quantum field theory to spdes,stochastic partial differential equations
stochastic analysis,Renormalisation from quantum field theory to spdes,quantum field theory
stochastic analysis,Construction of boltzmann and mckean vlasov type flows (the sewing lemma approach),stochastic processes
stochastic calculus,Stochastic partial differential equation,stochastic processes
stochastic calculus,Stochastic partial differential equation,partial differential equations
stochastic calculus,Stochastic process,stochastic processes
stochastic calculus,Markov process,markov processes
stochastic calculus,Markov chain,markov chains
stochastic processes,Analysis of stochastic systems and stochastic processes,stochastic processes
stochastic processes,Analysis of stochastic systems and stochastic processes,stochastic systems
stochastic processes,Applications in engineering related to stochastic processes and stochastic systems,stochastic processes
stochastic processes,Applications in engineering related to stochastic processes and stochastic systems,engineering
stochastic processes,Applications in engineering related to stochastic processes and stochastic systems,stochastic systems
stochastic processes,"Bayesian inference in stochastic processes bisp 11, madrid june 12-14",stochastic processes
stochastic processes,"Bayesian inference in stochastic processes bisp 11, madrid june 12-14",bayesian inference
stochastic optimization,Risk-averse optimization,optimization
stochastic optimization,Risk-averse optimization,risk-averse optimization
stochastic optimization,Multi-stage stochastic programs,stochastic programming
stochastic optimization,Multi-horizon stochastic programs,stochastic programming
stochastic optimization,Scenario generation and reduction in stochastic programs,scenario reduction
stochastic optimization,Scenario generation and reduction in stochastic programs,scenario generation
stochastic optimization,Scenario generation and reduction in stochastic programs,stochastic programming
stochastic optimization,Stochastic dominance,stochastic dominance
stochastic simulation,Simulation-based optimization,optimization
stochastic simulation,Simulation-based optimization,simulation
stochastic simulation,Markov chain monte carlo theory and applications,markov chains
stochastic simulation,Markov chain monte carlo theory and applications,monte carlo methods
stochastic simulation,Model uncertainty and robust simulation,model uncertainty
stochastic simulation,Model uncertainty and robust simulation,robust simulation
stochastic simulation,Simulation input analysis,simulation
stochastic simulation,Simulation input analysis,input analysis
stochastic simulation,Simulation output analysis,output analysis
stochastic simulation,Simulation output analysis,simulation
stochastic simulation,Simulation-based design,simulation
stochastic simulation,Simulation-based design,design
stochastic simulation,Simulation-based forecasting,simulation
stochastic simulation,Simulation-based forecasting,forecasting
stochastic simulation,Discrete-event simulation,discrete event simulation
strategic human resources,adapting to a more flexible future: the role of human resource management in virtual work,human resource management
strategic human resources,adapting to a more flexible future: the role of human resource management in virtual work,virtual work
structural equation modeling,Evaluating fit indices for multivariate t-based structural equation modeling with data contamination,multivariate statistics
structural equation modeling,Evaluating fit indices for multivariate t-based structural equation modeling with data contamination,structural equation modeling
structural equation modeling,Evaluating fit indices for multivariate t-based structural equation modeling with data contamination,robust statistics
structural equation modeling,The impact of partial measurement invariance on testing moderation for single and multi-level data,measurement invariance
structural equation modeling,The impact of partial measurement invariance on testing moderation for single and multi-level data,multilevel modeling
structural equation modeling,The impact of partial measurement invariance on testing moderation for single and multi-level data,moderation analysis
structural materials,Ferrous metals for use in structural applications,ferrous metallurgy
structural materials,Geomaterials and earth-based engineering materials,geotechnical engineering
structural materials,Geomaterials and earth-based engineering materials,earth materials
structural materials,Glass for use in structural applications,glass engineering
structural materials,Structural ceramics,ceramics
structural materials,Structural polymer composites,polymer composites
structural modeling,Community structural modeling and detection,network analysis
structural modeling,Community structural modeling and detection,community detection
superconductivity,High-temperature superconductivity,high-temperature superconductivity
superconductivity,Low-temperature superconductivity,low-temperature superconductivity
superconductivity,Quantum superconductivity,quantum superconductivity
superconductivity,Topological superconductivity,topological superconductivity
superconductivity,Topological superconductors and unconventional superconductivity,topological superconductivity
superconductivity,Topological superconductors and unconventional superconductivity,unconventional superconductivity
superconductivity,"Tuning superconductivity by high pressure, ion gating, and light",superconductivity
superconductivity,Superconducting thin films,superconductivity
superconductivity,Superconducting quantum devices,superconductivity
superconductivity,Superconducting quantum devices,quantum devices
superconductivity,Superconducting nanostructures,superconductivity
superconductivity,Superconducting nanostructures,nanostructures
superconductivity,Superconducting magnets,superconductivity
superconductivity,Superconducting electronics,superconductivity
superconductivity,Superconducting electronics,electronics
superconductivity,Superconducting interconnects,superconductivity
superconductivity,Superconducting interconnects,interconnects
superconductivity,Superconducting quantum interference devices (squids),superconductivity
superconductivity,Superconducting energy storage,energy storage
superconductivity,Superconducting energy storage,superconductivity
superconductivity,Superconducting power transmission,power transmission
superconductivity,Superconducting power transmission,superconductivity
superconductivity,Superconducting materials for medical applications,superconductivity
superconductivity,Superconducting materials for medical applications,materials science
superconductivity,Superconducting quantum computing,quantum computing
superconductivity,Superconducting quantum computing,superconductivity
superconductivity,Superconducting heterostructures,heterostructures
superconductivity,Superconducting heterostructures,superconductivity
superconductivity,Quantum criticality in superconductors,quantum criticality
superconductivity,Quantum criticality in superconductors,superconductivity
superconductivity,Superconducting photon detectors,photonics
superconductivity,Superconducting photon detectors,detector physics
superconductivity,Superconducting photon detectors,superconductivity
superconductivity,Fabrication of superconducting materials,superconductivity
superconductivity,Fabrication of superconducting materials,materials fabrication
superconductivity,Fabrication of superconducting materials,materials science
superconductivity,"Kagome superconductors, nickelate, and other novel superconductors",kagome materials
superconductivity,"Kagome superconductors, nickelate, and other novel superconductors",nickelate materials
superconductivity,"Kagome superconductors, nickelate, and other novel superconductors",superconductivity
superconductivity,"Kagome superconductors, nickelate, and other novel superconductors",novel superconductors
superconductivity,"Superconducting qubit: materials issues, gates and error corrections",quantum error correction
superconductivity,"Superconducting qubit: materials issues, gates and error corrections",quantum computing
superconductivity,"Superconducting qubit: materials issues, gates and error corrections",superconductivity
superconductivity,"Superconducting qubit: materials issues, gates and error corrections",materials science
superconductivity,Josephson junction technology and interface,interface physics
superconductivity,Josephson junction technology and interface,superconductivity
superconductivity,Josephson junction technology and interface,josephson junctions
superconductivity,"Flux pinning and critical currents: intrinsic pinning behavior, anisotropy, irradiation effect",critical currents
superconductivity,"Flux pinning and critical currents: intrinsic pinning behavior, anisotropy, irradiation effect",flux pinning
superconductivity,Rebco wires and coated conductors: processing and applications,coated conductors
superconductivity,Fe-based superconductors and potential applications,iron-based superconductors
superconductivity,"Bi-based, nb-based, mgb2 tapes and round wires: processing and applications",niobium-based superconductors
superconductivity,"Bi-based, nb-based, mgb2 tapes and round wires: processing and applications",bismuth-based superconductors
superconductivity,Superconducting devices and their implementations,superconducting devices
supply chain,Circular supply chains,supply chain management
supply chain,Circular supply chains,circular economy
supply chain,Closed-loop supply chains,supply chain management
supply chain,Role of renewable energies and electric vehicles for sustainable supply chains,renewable energy
supply chain,Role of renewable energies and electric vehicles for sustainable supply chains,sustainable supply chains
supply chain,Role of renewable energies and electric vehicles for sustainable supply chains,electric vehicles
supply chain,Supplier management for sustainable supply chains,supply chain management
supply chain,Supplier management for sustainable supply chains,supplier management
supply chain,Supplier management for sustainable supply chains,sustainability
supply chain,Supply chain analytics,supply chain analytics
supply chain,Supply chain digitization,supply chain management
supply chain,Supply chain digitization,digital transformation
supply chain,Supply chain risk and resilience,supply chain risk management
supply chain,Supply chain risk and resilience,supply chain resilience
supply chain,Building sustainable supply chains in africa: opportunities and challenges,african supply chains
supply chain,Building sustainable supply chains in africa: opportunities and challenges,sustainable supply chain management
supply chain,Case studies on sustainable supply chains in africa,african supply chains
supply chain,Case studies on sustainable supply chains in africa,sustainable supply chain management
supply chain,Sustainability issues in supply chains,sustainable supply chain management
supply chain,Health/pharmaceutical supply chain,pharmaceutical supply chain
supply chain,Health/pharmaceutical supply chain,health supply chain
supply chain,Agriculture and commodities supply chain,commodities supply chain
supply chain,Replication studies in supply chain management,supply chain management
supply chain,Supply chain resilience theory for tomorrow’s world,supply chain resilience
supply chain,Envisioning supply chains in a post-growth era,supply chain
supply chain,"Procurement, sourcing and supply chain management",supply chain management
supply chain,"Procurement, sourcing and supply chain management",sourcing
supply chain,"Procurement, sourcing and supply chain management",procurement
supply chain,Artificial intelligence and machine learning for scm,machine learning
supply chain,Artificial intelligence and machine learning for scm,artificial intelligence
supply chain,Artificial intelligence and machine learning for scm,supply chain management
supply chain,Block chain technology for scm,supply chain management
supply chain,Corporate social responsibility for scm,corporate social responsibility
supply chain,Corporate social responsibility for scm,supply chain management
supply chain,Optimization techniques for scm,supply chain management
supply chain,Optimization techniques for scm,optimization
supply chain,sustainable inventory systems,inventory management
supply chain,sustainable logistics practices,logistics
supply chain,emerging discourse incubator: complex adaptive supply networks in turbulent times,complex systems
supply chain,logistics and transportation management,logistics
supply chain,manufacturing and production management,manufacturing
supply chain analysis,supply chain economics,supply chain
supply chain analysis,supply chain economics,economics
supply chain analysis,logistics and supply chain,logistics
supply chain analysis,logistics and supply chain,supply chain
supply chain design,Supply chain design and performance,supply chain performance
supply chain design,Supply chain design and performance,supply chain design
supply chain design,Supply chain design for self-customised services,service customization
supply chain design,Supply chain design for self-customised services,supply chain design
supply chain design,Network modeling approaches,network modeling
supply chain design,Forecasting techniques,forecasting
supply chain design,Strategies for making decisions under uncertainty,decision theory
supply chain design,Strategies for making decisions under uncertainty,uncertainty modeling
supply chain design,Digitalization of supply chain and digitalization for supply chain visibility,supply chain management
supply chain design,Digitalization of supply chain and digitalization for supply chain visibility,digitalization
supply chain design,Digitalization of supply chain and digitalization for supply chain visibility,supply chain visibility
supply chain design,Sustainable supply chains and supply chain decarbonization,decarbonization
supply chain design,Sustainable supply chains and supply chain decarbonization,sustainable supply chains
supply chain design,"Trafficking, slavery and corruption in supply chains",supply chain ethics
supply chain design,"Trafficking, slavery and corruption in supply chains",supply chain corruption
supply chain design,Healthcare supply chains and operations,supply chain management
supply chain design,Healthcare supply chains and operations,healthcare logistics
supply chain design,Humanitarian and disaster supply chains and operations,disaster logistics
supply chain design,Humanitarian and disaster supply chains and operations,supply chain management
supply chain design,Humanitarian and disaster supply chains and operations,humanitarian logistics
supply chain design,Climate and natural hazards impact supply chains and operations,natural hazards
supply chain design,Climate and natural hazards impact supply chains and operations,climate change
supply chain design,Performance measures and metrics involving data analytics and supply chains,data analytics
supply chain design,Performance measures and metrics involving data analytics and supply chains,performance measurement
supply chain design,Design and management of service supply chains,service management
supply chain design,Design and management of service supply chains,service supply chain
supply chain design,Supply chain relationships and design for effective servitization and service management,supply chain management
supply chain design,Supply chain relationships and design for effective servitization and service management,service management
supply chain design,Supply chain relationships and design for effective servitization and service management,servitization
supply chain design,(re)configuration of forward and reverse supply chains,reverse supply chain
supply chain design,(re)configuration of forward and reverse supply chains,forward supply chain
supply chain design,(re)configuration of forward and reverse supply chains,supply chain configuration
supply chain design,Sourcing advanced services,sourcing
supply chain design,Sourcing advanced services,service management
supply chain design,Service innovations in supply chains,supply chain management
supply chain design,Service innovations in supply chains,service innovation
supply chain design,"Relationships, interactions and interfaces between actors in the service supply chain",actor-network theory
supply chain design,Digitally connected services,digital services
supply chain design,Big data and customer feedback for service improvement,big data
supply chain design,Big data and customer feedback for service improvement,customer feedback
supply chain design,Digitalised aftermarket supply chains,digital supply chains
supply chain design,Digitalised aftermarket supply chains,aftermarket supply chains
supply chain design,"Intersection of humanitarian studies, logistics, and supply chain management in disaster response.",supply chain management
supply chain design,"Intersection of humanitarian studies, logistics, and supply chain management in disaster response.",disaster response
supply chain design,"Collaboration between ngos, government agencies, and academia to improve humanitarian supply chains.",humanitarian supply chains
supply chain design,Loop supply chains,supply chain management
supply chain design,Creation in supply chains,supply chain management
supramolecular chemistry,Emerging directions insupramolecular chemistry,supramolecular chemistry
supramolecular chemistry,Novel macrocycles: from synthesis to supramolecular function,supramolecular chemistry
supramolecular chemistry,Novel macrocycles: from synthesis to supramolecular function,macrocycles
sustainability,sustainability in smart factory and industry 4.,industrial engineering
sustainability,cutting-edge technologies applied to water treatment and sustainable energy system,renewable energy
sustainability,cutting-edge technologies applied to water treatment and sustainable energy system,water treatment
sustainability,cutting-edge technologies applied to water treatment and sustainable energy system,energy systems
sustainability,development economics and sustainable economic growth,economic growth
sustainability,development economics and sustainable economic growth,development economics
sustainability,sustainable urban designs to enhance human health and well-being,urban planning
sustainability,sustainable urban designs to enhance human health and well-being,public health
sustainability,sustainable urban designs to enhance human health and well-being,urban design
sustainability,embracing circular economy principles for sustainable capital projects,sustainable development
sustainability,embracing circular economy principles for sustainable capital projects,circular economy
sustainability,Optimization and application of sustainable distributed power generation,distributed energy
sustainability,Optimization and application of sustainable distributed power generation,energy systems
sustainability,Sustainable low–cost air pollution monitors and air quality,air quality
sustainability,Sustainable low–cost air pollution monitors and air quality,environmental monitoring
sustainability,Sustainable consumer behavior and brand management,consumer behavior
sustainability,Sustainable consumer behavior and brand management,brand management
sustainability,Sustainable consumer behavior and brand management,marketing
sustainability,"Advancing sustainable development through environmental, behavioral, and foresight economics",behavioral economics
sustainability,"Advancing sustainable development through environmental, behavioral, and foresight economics",foresight studies
sustainability,"Advancing sustainable development through environmental, behavioral, and foresight economics",environmental economics
sustainability,"Global warming and microbial diversity, and the challenge of using microbes to go carbon neutral",carbon neutrality
sustainability,"Global warming and microbial diversity, and the challenge of using microbes to go carbon neutral",climate change
sustainable cities,"material circularity – climate change, & reuse",climate change
sustainable cities,"material circularity – climate change, & reuse",circular economy
sustainable cities,governing the ecosystem commons – governance & spatial planning,governance
sustainable cities,governing the ecosystem commons – governance & spatial planning,spatial planning
sustainable cities,"cultural heritage – policy, people & place",policy
sustainable cities,"cultural heritage – policy, people & place",cultural heritage
sustainable manufacturing,Data usage and sustainable manufacturing/production planning,production planning
sustainable manufacturing,Energy and resource management,resource management
sustainable manufacturing,Energy and resource management,energy management
sustainable manufacturing,Green manufacturing at scale,green manufacturing
sustainable manufacturing,Sustainable supply chain strategies,sustainable supply chain management
sustainable manufacturing,Simulation tools for manufacturing system design/layout testing,simulation
sustainable manufacturing,Iot for environmental monitoring,internet of things
sustainable manufacturing,Iot for environmental monitoring,environmental monitoring
sustainable manufacturing,circular economy and social innovation,social innovation
sustainable manufacturing,circular economy and social innovation,circular economy
sustainable manufacturing,cloud & edge for sustainable operations,cloud computing
sustainable manufacturing,cloud & edge for sustainable operations,edge computing
sustainable manufacturing,cloud & edge for sustainable operations,sustainable operations
sustainable systems,energy solutions to sustainable systems,energy systems
sustainable systems,sustainable architectures for smart grids,smart grids
sustainable systems,sustainable architectures for smart grids,sustainable architecture
sustainable systems,energy management systems,energy management
sustainable systems,renewable energy systems,renewable energy
sustainable systems,Virtualization for reducing power consumption,virtualization
sustainable systems,Greener systems planning and design,systems design
sustainable systems,Reliability of power-aware computers,power-aware computing
sustainable systems,Runtime systems that assist in power saving,runtime systems
sustainable systems,"Theoretical aspect of energy, power, and temperature",energy
sustainable systems,"Theoretical aspect of energy, power, and temperature",power
sustainable systems,"Theoretical aspect of energy, power, and temperature",thermodynamics
sustainable systems,"Algorithms for reduced power, energy, and heat",algorithms
sustainable systems,"Algorithms for reduced power, energy, and heat",power management
sustainable systems,"Algorithms for reduced power, energy, and heat",energy efficiency
sustainable systems,"Power-aware design of software, middleware",software engineering
sustainable systems,"Power-aware design of software, middleware",power-aware computing
sustainable systems,"Power-aware design of software, middleware",middleware
sustainable systems,Qos and green computing,quality of service
sustainable systems,Qos and green computing,green computing
sustainable systems,Energy-efficient wireless/mobile/sensor systems,wireless systems
sustainable systems,Energy-efficient wireless/mobile/sensor systems,energy efficiency
sustainable systems,Energy-efficient wireless/mobile/sensor systems,mobile computing
sustainable systems,Green communications architectures and frameworks,communications engineering
sustainable systems,Green communications architectures and frameworks,network architecture
sustainable systems,Green data centres and enterprise computing,enterprise computing
sustainable systems,Green software engineering methodologies and tools,software engineering
sustainable systems,Power leakage and dissipation,power electronics
sustainable systems,Power leakage and dissipation,energy dissipation
synaptic plasticity,Mechanisms of synaptic plasticity in learning and memory formation,synaptic plasticity
synaptic plasticity,Mechanisms of synaptic plasticity in learning and memory formation,learning
synaptic plasticity,Mechanisms of synaptic plasticity in learning and memory formation,memory formation
synaptic plasticity,Role of neurotransmitter receptors in synaptic plasticity,synaptic plasticity
synaptic plasticity,Role of neurotransmitter receptors in synaptic plasticity,neurotransmitter receptors
synaptic plasticity,Therapeutic strategies targeting synaptic plasticity,therapeutics
synaptic plasticity,Therapeutic strategies targeting synaptic plasticity,synaptic plasticity
synaptic plasticity,Synaptic plasticity in development.,synaptic plasticity
synaptic plasticity,Synaptic plasticity in development.,developmental neuroscience
synaptic plasticity,Synaptic plasticity:,synaptic plasticity
synaptic plasticity,Synaptic remodeling after traumatic injury and implications on memory,synaptic plasticity
synaptic plasticity,Regulation of synaptic transmission and plasticity by neuromodulators,synaptic plasticity
synaptic plasticity,Regulation of synaptic transmission and plasticity by neuromodulators,synaptic transmission
synaptic plasticity,Regulation of synaptic transmission and plasticity by neuromodulators,neuromodulation
synaptic plasticity,Implications of synaptic dysfunction in neurodevelopmental and neurodegenerative diseases,neurodevelopmental disorders
synaptic plasticity,Implications of synaptic dysfunction in neurodevelopmental and neurodegenerative diseases,neurodegenerative diseases
synaptic plasticity,Implications of synaptic dysfunction in neurodevelopmental and neurodegenerative diseases,synaptic dysfunction
synaptic plasticity,Impact of synaptic alterations in motor learning,synaptic plasticity
synaptic plasticity,Impact of synaptic alterations in motor learning,motor learning
synthetic biology,Biofoundries and their impact on synthetic biology,synthetic biology
synthetic biology,Biofoundries and their impact on synthetic biology,biofoundries
synthetic biology,Computer aided design tools and automation for engineering biology,automation
synthetic biology,Standardization of biological components,biological components
synthetic biology,Engineering implementation of cellular modification,cell modification
synthetic biology,Engineering implementation of cellular modification,cell engineering
synthetic biology,Metabolic pathways and networks,metabolic networks
synthetic biology,Metabolic pathways and networks,metabolic pathways
synthetic biology,Molecular biology and genetic circuits,molecular biology
synthetic biology,Molecular biology and genetic circuits,genetic circuits
synthetic biology,Quantitative prediction of system behavior,systems biology
synthetic biology,Symbiotic consortia,symbiosis
synthetic biology,Symbiotic consortia,microbial consortia
synthetic biology,Computational and experimental biology integration,experimental biology
synthetic biology,Computational and experimental biology integration,computational biology
synthetic biology,Multicellular interactions,multicellular biology
synthetic biology,Cell free systems,cell-free systems
system of systems engineering,Systems thinking and lifecycle management methodologies,systems thinking
system of systems engineering,Systems thinking and lifecycle management methodologies,lifecycle management
system of systems engineering,"Modeling, simulation, and validation approaches for sose",modeling
system of systems engineering,"Modeling, simulation, and validation approaches for sose",simulation
system of systems engineering,"Modeling, simulation, and validation approaches for sose",validation
system of systems engineering,Standards and protocols for interoperability and integration,interoperability
system of systems engineering,Standards and protocols for interoperability and integration,protocols
system of systems engineering,Standards and protocols for interoperability and integration,standards
system of systems engineering,Model-based systems engineering (mbse) and digital thread approaches,model-based systems engineering
system of systems engineering,Model-based systems engineering (mbse) and digital thread approaches,digital thread
system of systems engineering,Agile and adaptive methodologies in sose,agile methodologies
system of systems engineering,Agile and adaptive methodologies in sose,adaptive methodologies
system of systems engineering,"Ai-driven decision-making, automation, and optimization in sose",artificial intelligence
system of systems engineering,"Ai-driven decision-making, automation, and optimization in sose",automation
system of systems engineering,"Ai-driven decision-making, automation, and optimization in sose",decision making
system of systems engineering,"Ai-driven decision-making, automation, and optimization in sose",optimization
system of systems engineering,Machine learning applications and predictive analytics for sose,machine learning
system of systems engineering,Machine learning applications and predictive analytics for sose,predictive analytics
system of systems engineering,"Integration of iot, blockchain, and 5g/6g technologies in complex systems",6g technology
system of systems engineering,"Integration of iot, blockchain, and 5g/6g technologies in complex systems",5g technology
system of systems engineering,"Integration of iot, blockchain, and 5g/6g technologies in complex systems",internet of things
system of systems engineering,"Integration of iot, blockchain, and 5g/6g technologies in complex systems",complex systems
system of systems engineering,"Integration of iot, blockchain, and 5g/6g technologies in complex systems",blockchain
system of systems engineering,"Digital twins for monitoring, validation, and optimization",optimization
system of systems engineering,"Digital twins for monitoring, validation, and optimization",digital twins
system of systems engineering,"Digital twins for monitoring, validation, and optimization",validation
system of systems engineering,"Digital twins for monitoring, validation, and optimization",monitoring
system of systems engineering,Ethical and societal implications of ai and emerging technologies in sose,societal implications
system of systems engineering,Ethical and societal implications of ai and emerging technologies in sose,ethics
system of systems engineering,Ethical and societal implications of ai and emerging technologies in sose,artificial intelligence
system of systems engineering,Ethical and societal implications of ai and emerging technologies in sose,emerging technologies
system of systems engineering,System management and engineering,systems engineering
system of systems engineering,System management and engineering,system management
system of systems engineering,Interoperability and system architecture,interoperability
system of systems engineering,Interoperability and system architecture,system architecture
system of systems engineering,System of systems integration,system integration
system of systems engineering,System of systems integration,system of systems engineering
system of systems engineering,"Risk analysis, reliability, safety, security, resilience in sos",security engineering
system of systems engineering,"Risk analysis, reliability, safety, security, resilience in sos",risk analysis
system of systems engineering,"Risk analysis, reliability, safety, security, resilience in sos",resilience engineering
system of systems engineering,"Risk analysis, reliability, safety, security, resilience in sos",reliability engineering
system of systems engineering,"Risk analysis, reliability, safety, security, resilience in sos",safety engineering
system of systems engineering,Cooperation and coordination in competitive multi-systems,coordination
system of systems engineering,Cooperation and coordination in competitive multi-systems,cooperation
system of systems engineering,Cooperation and coordination in competitive multi-systems,multi-agent systems
system of systems engineering,Multi-scale and multi-physics system modeling,multi-physics modeling
system of systems engineering,Multi-scale and multi-physics system modeling,multi-scale modeling
system-level design,System-level design and methodologies (sdm),system-level design
system-level design,Design-for-testability and system-level design issues in 3d/2.5d,design for testability
system-level design,Design-for-testability and system-level design issues in 3d/2.5d,three-dimensional integrated circuits
system-level design,Design-for-testability and system-level design issues in 3d/2.5d,system-level design
system-level design,"Design, simulation and modeling of emerging technologies",emerging technologies
system-level design,Design and technology co-optimization,technology co-optimization
system-level design,"Advanced interconnect (e.g., air gap for local interconnect, si photonics, etc.).",silicon photonics
system-level design,"Advanced interconnect (e.g., air gap for local interconnect, si photonics, etc.).",interconnect technology
system-level design,Hardware and system security (hss),system security
